 #log10(N)         exact        Simpson   Gauss-Legend          Filon      log10(eS)      log10(eG)      log10(eF)
  3.459543     0.6241500      0.6241356      0.6241501      0.6241655     -4.6374186     -7.0826206          -4.603924
  3.468495     0.6241500      0.6241368      0.6241501      0.6241643     -4.6735520     -7.0826247          -4.641131
  3.477266     0.6241500      0.6241378      0.6241501      0.6241631     -4.7089596     -7.0826304          -4.677534
  3.485863     0.6241500      0.6241387      0.6241501      0.6241621     -4.7436713     -7.0826341          -4.713164
  3.494294     0.6241500      0.6241396      0.6241501      0.6241611     -4.7777151     -7.0826389          -4.748052
  3.502564     0.6241500      0.6241404      0.6241501      0.6241603     -4.8111176     -7.0826461          -4.782227
  3.510679     0.6241500      0.6241411      0.6241501      0.6241595     -4.8439039     -7.0826504          -4.815717
  3.518646     0.6241500      0.6241417      0.6241501      0.6241588     -4.8760975     -7.0826564          -4.848546
  3.526469     0.6241500      0.6241423      0.6241501      0.6241582     -4.9077209     -7.0826640          -4.880739
  3.534153     0.6241500      0.6241428      0.6241501      0.6241576     -4.9387952     -7.0826692          -4.912320
  3.541704     0.6241500      0.6241433      0.6241501      0.6241571     -4.9693407     -7.0826760          -4.943308
  3.549126     0.6241500      0.6241437      0.6241501      0.6241566     -4.9993764     -7.0826804          -4.973725
  3.556423     0.6241500      0.6241442      0.6241501      0.6241562     -5.0289204     -7.0826867          -5.003591
  3.563600     0.6241500      0.6241445      0.6241501      0.6241558     -5.0579901     -7.0826920          -5.032923
  3.570660     0.6241500      0.6241449      0.6241501      0.6241554     -5.0866019     -7.0826967          -5.061738
  3.577607     0.6241500      0.6241452      0.6241501      0.6241551     -5.1147716     -7.0827029          -5.090054
  3.584444     0.6241500      0.6241455      0.6241501      0.6241548     -5.1425140     -7.0827085          -5.117885
  3.591176     0.6241500      0.6241458      0.6241501      0.6241545     -5.1698435     -7.0827141          -5.145247
  3.597805     0.6241500      0.6241460      0.6241501      0.6241542     -5.1967737     -7.0827197          -5.172153
  3.604334     0.6241500      0.6241463      0.6241501      0.6241540     -5.2233177     -7.0827192          -5.198618
  3.610767     0.6241500      0.6241465      0.6241501      0.6241537     -5.2494881     -7.0827243          -5.224653
  3.617105     0.6241500      0.6241467      0.6241501      0.6241535     -5.2752968     -7.0827305          -5.250272
  3.623353     0.6241500      0.6241469      0.6241501      0.6241533     -5.3007554     -7.0827365          -5.275485
  3.629512     0.6241500      0.6241471      0.6241501      0.6241531     -5.3258750     -7.0827416          -5.300304
  3.635584     0.6241500      0.6241472      0.6241501      0.6241530     -5.3506660     -7.0827407          -5.324739
  3.641573     0.6241500      0.6241474      0.6241501      0.6241528     -5.3751389     -7.0827463          -5.348801
  3.647481     0.6241500      0.6241475      0.6241501      0.6241526     -5.3993033     -7.0827515          -5.372499
  3.653309     0.6241500      0.6241476      0.6241501      0.6241525     -5.4231687     -7.0827495          -5.395842
  3.659060     0.6241500      0.6241478      0.6241501      0.6241524     -5.4467443     -7.0827551          -5.418838
  3.664736     0.6241500      0.6241479      0.6241501      0.6241523     -5.4700389     -7.0827625          -5.441498
  3.670339     0.6241500      0.6241480      0.6241501      0.6241521     -5.4930610     -7.0827603          -5.463827
  3.675870     0.6241500      0.6241481      0.6241501      0.6241520     -5.5158187     -7.0827667          -5.485836
  3.681332     0.6241500      0.6241482      0.6241501      0.6241519     -5.5383199     -7.0827641          -5.507529
