 #  Runge-Kutta for ideal harmonic oscillator
                #t                 x        analytical    Relative-error            Energy          log(Err)
 
      0.273000D+02     -0.108843D+00      0.951057D+00      0.111444D+01      0.158114D+02     -0.161144D+01
      0.274000D+02     -0.609507D+00      0.587785D+00      0.203696D+01      0.157986D+02     -0.160819D+01
      0.275000D+02     -0.877552D+00     -0.742887D-12      0.118127D+13      0.157857D+02     -0.160495D+01
      0.276000D+02     -0.811046D+00     -0.587785D+00      0.379834D+00      0.157729D+02     -0.160172D+01
      0.277000D+02     -0.435599D+00     -0.951057D+00      0.541985D+00      0.157601D+02     -0.159851D+01
      0.278000D+02      0.105500D+00     -0.951057D+00      0.111093D+01      0.157473D+02     -0.159531D+01
      0.279000D+02      0.605965D+00     -0.587785D+00      0.203093D+01      0.157345D+02     -0.159212D+01
      0.280000D+02      0.875161D+00      0.788950D-12      0.110927D+13      0.157217D+02     -0.158895D+01
      0.281000D+02      0.810715D+00      0.587785D+00      0.379272D+00      0.157090D+02     -0.158579D+01
      0.282000D+02      0.437453D+00      0.951057D+00      0.540035D+00      0.156962D+02     -0.158264D+01
      0.283000D+02     -0.102169D+00      0.951057D+00      0.110743D+01      0.156834D+02     -0.157950D+01
      0.284000D+02     -0.602427D+00      0.587785D+00      0.202491D+01      0.156707D+02     -0.157638D+01
      0.285000D+02     -0.872765D+00     -0.835013D-12      0.104521D+13      0.156580D+02     -0.157326D+01
      0.286000D+02     -0.810373D+00     -0.587785D+00      0.378689D+00      0.156452D+02     -0.157016D+01
      0.287000D+02     -0.439293D+00     -0.951057D+00      0.538100D+00      0.156325D+02     -0.156707D+01
      0.288000D+02      0.988491D-01     -0.951057D+00      0.110394D+01      0.156198D+02     -0.156400D+01
      0.289000D+02      0.598894D+00     -0.587785D+00      0.201890D+01      0.156071D+02     -0.156093D+01
      0.290000D+02      0.870364D+00      0.881075D-12      0.987842D+12      0.155945D+02     -0.155788D+01
      0.291000D+02      0.810018D+00      0.587785D+00      0.378085D+00      0.155818D+02     -0.155484D+01
      0.292000D+02      0.441118D+00      0.951057D+00      0.536181D+00      0.155691D+02     -0.155181D+01
      0.293000D+02     -0.955415D-01      0.951057D+00      0.110046D+01      0.155565D+02     -0.154879D+01
      0.294000D+02     -0.595365D+00      0.587785D+00      0.201290D+01      0.155439D+02     -0.154579D+01
      0.295000D+02     -0.867958D+00     -0.927138D-12      0.936169D+12      0.155312D+02     -0.154279D+01
      0.296000D+02     -0.809652D+00     -0.587785D+00      0.377462D+00      0.155186D+02     -0.153981D+01
      0.297000D+02     -0.442928D+00     -0.951057D+00      0.534278D+00      0.155060D+02     -0.153684D+01
      0.298000D+02      0.922457D-01     -0.951057D+00      0.109699D+01      0.154934D+02     -0.153388D+01
      0.299000D+02      0.591841D+00     -0.587785D+00      0.200690D+01      0.154808D+02     -0.153093D+01
      0.300000D+02      0.865548D+00      0.973201D-12      0.889383D+12      0.154682D+02     -0.152799D+01
