 #     x               legendre p( 4 ,x)
  -.579999            -0.355687040
  -.578999            -0.354977505
  -.577999            -0.354258535
  -.576999            -0.353530181
  -.575999            -0.352792496
  -.574999            -0.352045532
  -.573999            -0.351289340
  -.572999            -0.350523972
  -.571999            -0.349749481
  -.570999            -0.348965918
  -.569999            -0.348173335
  -.568999            -0.347371783
  -.567999            -0.346561313
  -.566999            -0.345741978
  -.565999            -0.344913829
  -.564999            -0.344076916
  -.563999            -0.343231291
  -.562999            -0.342377006
  -.561999            -0.341514110
  -.560999            -0.340642656
  -.559999            -0.339762694
  -.558999            -0.338874275
  -.557999            -0.337977449
  -.556999            -0.337072268
  -.555999            -0.336158782
  -.554999            -0.335237041
  -.553999            -0.334307096
  -.552999            -0.333368997
  -.551999            -0.332422795
  -.550999            -0.331468539
  -.549999            -0.330506281
  -.548999            -0.329536069
  -.547999            -0.328557955
  -.546999            -0.327571987
  -.545999            -0.326578216
  -.544999            -0.325576691
  -.543999            -0.324567462
  -.542999            -0.323550579
  -.541999            -0.322526091
  -.540999            -0.321494048
  -.539999            -0.320454499
  -.538999            -0.319407493
  -.537999            -0.318353080
  -.536999            -0.317291308
  -.535999            -0.316222227
  -.534999            -0.315145885
  -.533999            -0.314062332
  -.532999            -0.312971617
  -.531999            -0.311873787
  -.530999            -0.310768892
  -.529999            -0.309656981
  -.528999            -0.308538101
  -.527999            -0.307412302
  -.526999            -0.306279631
  -.525999            -0.305140137
  -.524999            -0.303993868
  -.523999            -0.302840873
  -.522999            -0.301681198
  -.521999            -0.300514893
  -.520999            -0.299342004
  -.519999            -0.298162581
  -.518999            -0.296976670
  -.517999            -0.295784319
  -.516999            -0.294585576
  -.515999            -0.293380488
  -.514999            -0.292169102
  -.513999            -0.290951467
  -.512999            -0.289727628
  -.511999            -0.288497634
  -.510999            -0.287261531
  -.509999            -0.286019367
  -.508999            -0.284771188
  -.507999            -0.283517040
  -.506999            -0.282256972
  -.505999            -0.280991029
  -.504999            -0.279719259
  -.503999            -0.278441707
  -.502999            -0.277158420
  -.501999            -0.275869444
  -.500999            -0.274574827
  -.499999            -0.273274613
  -.498999            -0.271968849
  -.497999            -0.270657581
  -.496999            -0.269340855
  -.495999            -0.268018717
  -.494999            -0.266691213
  -.493999            -0.265358388
  -.492999            -0.264020288
  -.491999            -0.262676958
  -.490999            -0.261328445
  -.489999            -0.259974792
  -.488999            -0.258616047
  -.487999            -0.257252253
  -.486999            -0.255883457
  -.485999            -0.254509702
  -.484999            -0.253131035
  -.483999            -0.251747500
  -.482999            -0.250359141
  -.481999            -0.248966004
  -.480999            -0.247568133
  -.479999            -0.246165573
  -.478999            -0.244758368
  -.477999            -0.243346562
  -.476999            -0.241930201
  -.475999            -0.240509328
  -.474999            -0.239083987
  -.473999            -0.237654222
  -.472999            -0.236220078
  -.471999            -0.234781599
  -.470999            -0.233338827
  -.469999            -0.231891808
  -.468999            -0.230440584
  -.467999            -0.228985199
  -.466999            -0.227525697
  -.465999            -0.226062121
  -.464999            -0.224594514
  -.463999            -0.223122920
  -.462999            -0.221647382
  -.461999            -0.220167943
  -.460999            -0.218684646
  -.459999            -0.217197533
  -.458999            -0.215706649
  -.457999            -0.214212035
  -.456999            -0.212713734
  -.455999            -0.211211788
  -.454999            -0.209706241
  -.453999            -0.208197135
  -.452999            -0.206684512
  -.451999            -0.205168414
  -.450999            -0.203648883
  -.449999            -0.202125962
  -.448999            -0.200599693
  -.447999            -0.199070117
  -.446999            -0.197537276
  -.445999            -0.196001212
  -.444999            -0.194461967
  -.443999            -0.192919583
  -.442999            -0.191374100
  -.441999            -0.189825561
  -.440999            -0.188274006
  -.439999            -0.186719478
  -.438999            -0.185162016
  -.437999            -0.183601663
  -.436999            -0.182038458
  -.435999            -0.180472444
  -.434999            -0.178903661
  -.433999            -0.177332149
  -.432999            -0.175757950
  -.431999            -0.174181103
  -.430999            -0.172601650
  -.429999            -0.171019631
  -.428999            -0.169435087
  -.427999            -0.167848056
  -.426999            -0.166258581
  -.425999            -0.164666700
  -.424999            -0.163072453
  -.423999            -0.161475882
  -.422999            -0.159877025
  -.421999            -0.158275922
  -.420999            -0.156672613
  -.419999            -0.155067137
  -.418999            -0.153459534
  -.417999            -0.151849844
  -.416999            -0.150238105
  -.415999            -0.148624357
  -.414999            -0.147008639
  -.413999            -0.145390991
  -.412999            -0.143771450
  -.411999            -0.142150057
  -.410999            -0.140526849
  -.409999            -0.138901866
  -.408999            -0.137275146
  -.407999            -0.135646728
  -.406999            -0.134016650
  -.405999            -0.132384951
  -.404999            -0.130751668
  -.403999            -0.129116841
  -.402999            -0.127480507
  -.401999            -0.125842704
  -.400999            -0.124203471
  -.399999            -0.122562845
  -.398999            -0.120920864
  -.397999            -0.119277566
  -.396999            -0.117632987
  -.395999            -0.115987167
  -.394999            -0.114340142
  -.393999            -0.112691950
  -.392999            -0.111042628
  -.391999            -0.109392212
  -.390999            -0.107740742
  -.389999            -0.106088252
  -.388999            -0.104434781
  -.387999            -0.102780364
  -.386999            -0.101125040
  -.385999            -0.099468844
  -.384999            -0.097811813
  -.383999            -0.096153984
  -.382999            -0.094495393
  -.381999            -0.092836076
  -.380999            -0.091176070
  -.379999            -0.089515411
  -.378999            -0.087854135
  -.377999            -0.086192277
  -.376999            -0.084529875
  -.375999            -0.082866963
  -.374999            -0.081203578
  -.373999            -0.079539754
  -.372999            -0.077875528
  -.371999            -0.076210936
  -.370999            -0.074546011
  -.369999            -0.072880791
  -.368999            -0.071215309
  -.367999            -0.069549602
  -.366999            -0.067883704
  -.365999            -0.066217650
  -.364999            -0.064551475
  -.363999            -0.062885214
  -.362999            -0.061218901
  -.361999            -0.059552572
  -.360999            -0.057886260
  -.359999            -0.056220000
  -.358999            -0.054553827
  -.357999            -0.052887775
  -.356999            -0.051221877
  -.355999            -0.049556169
  -.354999            -0.047890683
  -.353999            -0.046225455
  -.352999            -0.044560517
  -.351999            -0.042895904
  -.350999            -0.041231649
  -.349999            -0.039567786
  -.348999            -0.037904348
  -.347999            -0.036241369
  -.346999            -0.034578882
  -.345999            -0.032916920
  -.344999            -0.031255517
  -.343999            -0.029594705
  -.342999            -0.027934517
  -.341999            -0.026274987
  -.340999            -0.024616147
  -.339999            -0.022958030
  -.338999            -0.021300668
  -.337999            -0.019644094
  -.336999            -0.017988340
  -.335999            -0.016333439
  -.334999            -0.014679423
  -.333999            -0.013026325
  -.332999            -0.011374176
  -.331999            -0.009723008
  -.330999            -0.008072853
  -.329999            -0.006423743
  -.328999            -0.004775711
  -.327999            -0.003128786
  -.326999            -0.001483002
  -.325999             0.000161610
  -.324999             0.001805020
  -.323999             0.003447195
  -.322999             0.005088105
  -.321999             0.006727718
  -.320999             0.008366004
  -.319999             0.010002930
  -.318999             0.011638468
  -.317999             0.013272585
  -.316999             0.014905251
  -.315999             0.016536435
  -.314999             0.018166107
  -.313999             0.019794237
  -.312999             0.021420794
  -.311999             0.023045747
  -.310999             0.024669067
  -.309999             0.026290724
  -.308999             0.027910687
  -.307999             0.029528927
  -.306999             0.031145414
  -.305999             0.032760117
  -.304999             0.034373009
  -.303999             0.035984058
  -.302999             0.037593235
  -.301999             0.039200512
  -.300999             0.040805858
  -.299999             0.042409245
  -.298999             0.044010643
  -.297999             0.045610024
  -.296999             0.047207358
  -.295999             0.048802616
  -.294999             0.050395771
  -.293999             0.051986793
  -.292999             0.053575653
  -.291999             0.055162323
  -.290999             0.056746775
  -.289999             0.058328980
  -.288999             0.059908910
  -.287999             0.061486538
  -.286999             0.063061834
  -.285999             0.064634771
  -.284999             0.066205321
  -.283999             0.067773456
  -.282999             0.069339149
  -.281999             0.070902372
  -.280999             0.072463097
  -.279999             0.074021297
  -.278999             0.075576945
  -.277999             0.077130013
  -.276999             0.078680474
  -.275999             0.080228301
  -.274999             0.081773468
  -.273999             0.083315946
  -.272999             0.084855710
  -.271999             0.086392733
  -.270999             0.087926987
  -.269999             0.089458447
  -.268999             0.090987086
  -.267999             0.092512877
  -.266999             0.094035795
  -.265999             0.095555813
  -.264999             0.097072905
  -.263999             0.098587044
  -.262999             0.100098206
  -.261999             0.101606364
  -.260999             0.103111493
  -.259999             0.104613566
  -.258999             0.106112558
  -.257999             0.107608445
  -.256999             0.109101199
  -.255999             0.110590797
  -.254999             0.112077212
  -.253999             0.113560420
  -.252999             0.115040395
  -.251999             0.116517113
  -.250999             0.117990549
  -.249999             0.119460678
  -.248999             0.120927476
  -.247999             0.122390917
  -.246999             0.123850977
  -.245999             0.125307632
  -.244999             0.126760858
  -.243999             0.128210630
  -.242999             0.129656923
  -.241999             0.131099715
  -.240999             0.132538981
  -.239999             0.133974698
  -.238999             0.135406840
  -.237999             0.136835386
  -.236999             0.138260310
  -.235999             0.139681590
  -.234999             0.141099202
  -.233999             0.142513123
  -.232999             0.143923329
  -.231999             0.145329798
  -.230999             0.146732506
  -.229999             0.148131430
  -.228999             0.149526547
  -.227999             0.150917836
  -.226999             0.152305272
  -.225999             0.153688833
  -.224999             0.155068497
  -.223999             0.156444241
  -.222999             0.157816043
  -.221999             0.159183880
  -.220999             0.160547732
  -.219999             0.161907574
  -.218999             0.163263386
  -.217999             0.164615145
  -.216999             0.165962829
  -.215999             0.167306418
  -.214999             0.168645889
  -.213999             0.169981220
  -.212999             0.171312391
  -.211999             0.172639380
  -.210999             0.173962165
  -.209999             0.175280725
  -.208999             0.176595040
  -.207999             0.177905088
  -.206999             0.179210848
  -.205999             0.180512300
  -.204999             0.181809422
  -.203999             0.183102195
  -.202999             0.184390597
  -.201999             0.185674608
  -.200999             0.186954208
  -.199999             0.188229376
  -.198999             0.189500092
  -.197999             0.190766337
  -.196999             0.192028089
  -.195999             0.193285330
  -.194999             0.194538039
  -.193999             0.195786196
  -.192999             0.197029782
  -.191999             0.198268778
  -.190999             0.199503163
  -.189999             0.200732918
  -.188999             0.201958025
  -.187999             0.203178464
  -.186999             0.204394215
  -.185999             0.205605260
  -.184999             0.206811580
  -.183999             0.208013156
  -.182999             0.209209969
  -.181999             0.210402001
  -.180999             0.211589233
  -.179999             0.212771646
  -.178999             0.213949222
  -.177999             0.215121943
  -.176999             0.216289790
  -.175999             0.217452746
  -.174999             0.218610792
  -.173999             0.219763911
  -.172999             0.220912084
  -.171999             0.222055294
  -.170999             0.223193523
  -.169999             0.224326754
  -.168999             0.225454969
  -.167999             0.226578150
  -.166999             0.227696281
  -.165999             0.228809344
  -.164999             0.229917322
  -.163999             0.231020198
  -.162999             0.232117955
  -.161999             0.233210576
  -.160999             0.234298044
  -.159999             0.235380344
  -.158999             0.236457457
  -.157999             0.237529368
  -.156999             0.238596060
  -.155999             0.239657518
  -.154999             0.240713723
  -.153999             0.241764662
  -.152999             0.242810317
  -.151999             0.243850673
  -.150999             0.244885713
  -.149999             0.245915422
  -.148999             0.246939785
  -.147999             0.247958785
  -.146999             0.248972408
  -.145999             0.249980637
  -.144999             0.250983458
  -.143999             0.251980855
  -.142999             0.252972813
  -.141999             0.253959318
  -.140999             0.254940353
  -.139999             0.255915905
  -.138999             0.256885958
  -.137999             0.257850499
  -.136999             0.258809511
  -.135999             0.259762981
  -.134999             0.260710895
  -.133999             0.261653238
  -.132999             0.262589996
  -.131999             0.263521154
  -.130999             0.264446699
  -.129999             0.265366617
  -.128999             0.266280893
  -.127999             0.267189515
  -.126999             0.268092469
  -.125999             0.268989740
  -.124999             0.269881315
  -.123999             0.270767182
  -.122999             0.271647326
  -.121999             0.272521735
  -.120999             0.273390395
  -.119999             0.274253293
  -.118999             0.275110417
  -.117999             0.275961754
  -.116999             0.276807290
  -.115999             0.277647013
  -.114999             0.278480911
  -.113999             0.279308971
  -.112999             0.280131180
  -.111999             0.280947527
  -.110999             0.281757999
  -.109999             0.282562584
  -.108999             0.283361271
  -.107999             0.284154046
  -.106999             0.284940898
  -.105999             0.285721816
  -.104999             0.286496788
  -.103999             0.287265802
  -.102999             0.288028847
  -.101999             0.288785911
  -.100999             0.289536984
  -.099999             0.290282053
  -.098999             0.291021108
  -.097999             0.291754138
  -.096999             0.292481132
  -.095999             0.293202079
  -.094999             0.293916968
  -.093999             0.294625789
  -.092999             0.295328531
  -.091999             0.296025183
  -.090999             0.296715736
  -.089999             0.297400179
  -.088999             0.298078501
  -.087999             0.298750693
  -.086999             0.299416745
  -.085999             0.300076647
  -.084999             0.300730389
  -.083999             0.301377961
  -.082999             0.302019353
  -.081999             0.302654556
  -.080999             0.303283561
  -.079999             0.303906359
  -.078999             0.304522939
  -.077999             0.305133293
  -.076999             0.305737411
  -.075999             0.306335286
  -.074999             0.306926907
  -.073999             0.307512266
  -.072999             0.308091354
  -.071999             0.308664163
  -.070999             0.309230684
  -.069999             0.309790909
  -.068999             0.310344829
  -.067999             0.310892436
  -.066999             0.311433722
  -.065999             0.311968679
  -.064999             0.312497298
  -.063999             0.313019573
  -.062999             0.313535494
  -.061999             0.314045056
  -.060999             0.314548249
  -.059999             0.315045066
  -.058999             0.315535500
  -.057999             0.316019544
  -.056999             0.316497190
  -.055999             0.316968431
  -.054999             0.317433260
  -.053999             0.317891671
  -.052999             0.318343656
  -.051999             0.318789208
  -.050999             0.319228321
  -.049999             0.319660988
  -.048999             0.320087203
  -.047999             0.320506960
  -.046999             0.320920251
  -.045999             0.321327071
  -.044999             0.321727414
  -.043999             0.322121273
  -.042999             0.322508643
  -.041999             0.322889518
  -.040999             0.323263892
  -.039999             0.323631759
  -.038999             0.323993114
  -.037999             0.324347951
  -.036999             0.324696265
  -.035999             0.325038051
  -.034999             0.325373303
  -.033999             0.325702016
  -.032999             0.326024186
  -.031999             0.326339807
  -.030999             0.326648875
  -.029999             0.326951384
  -.028999             0.327247331
  -.027999             0.327536710
  -.026999             0.327819517
  -.025999             0.328095748
  -.024999             0.328365398
  -.023999             0.328628464
  -.022999             0.328884940
  -.021999             0.329134824
  -.020999             0.329378111
  -.019999             0.329614798
  -.018999             0.329844880
  -.017999             0.330068355
  -.016999             0.330285218
  -.015999             0.330495466
  -.014999             0.330699096
  -.013999             0.330896105
  -.012999             0.331086489
  -.011999             0.331270245
  -.010999             0.331447370
  -.009999             0.331617862
  -.008999             0.331781718
  -.007999             0.331938934
  -.006999             0.332089509
  -.005999             0.332233440
  -.004999             0.332370724
  -.003999             0.332501359
  -.002999             0.332625343
  -.001999             0.332742674
  -.000999             0.332853349
  0.000001             0.332957368
  0.001001             0.333054727
  0.002001             0.333145425
  0.003001             0.333229460
  0.004001             0.333306832
  0.005001             0.333377537
  0.006001             0.333441576
  0.007001             0.333498946
  0.008001             0.333549647
  0.009001             0.333593677
  0.010001             0.333631036
  0.011001             0.333661722
  0.012001             0.333685734
  0.013001             0.333703073
  0.014001             0.333713736
  0.015001             0.333717724
  0.016001             0.333715036
  0.017001             0.333705673
  0.018001             0.333689632
  0.019001             0.333666915
  0.020001             0.333637521
  0.021001             0.333601451
  0.022001             0.333558704
  0.023001             0.333509280
  0.024001             0.333453180
  0.025001             0.333390405
  0.026001             0.333320954
  0.027001             0.333244829
  0.028001             0.333162029
  0.029001             0.333072557
  0.030001             0.332976412
  0.031001             0.332873595
  0.032001             0.332764108
  0.033001             0.332647951
  0.034001             0.332525127
  0.035001             0.332395635
  0.036001             0.332259479
  0.037001             0.332116658
  0.038001             0.331967175
  0.039001             0.331811032
  0.040001             0.331648230
  0.041001             0.331478771
  0.042001             0.331302657
  0.043001             0.331119890
  0.044001             0.330930472
  0.045001             0.330734406
  0.046001             0.330531694
  0.047001             0.330322338
  0.048001             0.330106341
  0.049001             0.329883706
  0.050001             0.329654435
  0.051001             0.329418531
  0.052001             0.329175997
  0.053001             0.328926836
  0.054001             0.328671051
  0.055001             0.328408646
  0.056001             0.328139623
  0.057001             0.327863986
  0.058001             0.327581738
  0.059001             0.327292884
  0.060001             0.326997426
  0.061001             0.326695369
  0.062001             0.326386715
  0.063001             0.326071471
  0.064001             0.325749638
  0.065001             0.325421222
  0.066001             0.325086226
  0.067001             0.324744656
  0.068001             0.324396515
  0.069001             0.324041808
  0.070001             0.323680539
  0.071001             0.323312714
  0.072001             0.322938336
  0.073001             0.322557412
  0.074001             0.322169945
  0.075001             0.321775942
  0.076001             0.321375407
  0.077001             0.320968345
  0.078001             0.320554761
  0.079001             0.320134662
  0.080001             0.319708053
  0.081001             0.319274940
  0.082001             0.318835327
  0.083001             0.318389221
  0.084001             0.317936629
  0.085001             0.317477555
  0.086001             0.317012007
  0.087001             0.316539989
  0.088001             0.316061510
  0.089001             0.315576574
  0.090001             0.315085189
  0.091001             0.314587361
  0.092001             0.314083097
  0.093001             0.313572403
  0.094001             0.313055286
  0.095001             0.312531755
  0.096001             0.312001814
  0.097001             0.311465472
  0.098001             0.310922736
  0.099001             0.310373613
  0.100001             0.309818111
  0.101001             0.309256237
  0.102001             0.308687999
  0.103001             0.308113404
  0.104001             0.307532461
  0.105001             0.306945177
  0.106001             0.306351561
  0.107001             0.305751619
  0.108001             0.305145362
  0.109001             0.304532796
  0.110001             0.303913930
  0.111001             0.303288773
  0.112001             0.302657334
  0.113001             0.302019621
  0.114001             0.301375642
  0.115001             0.300725407
  0.116001             0.300068925
