 
      #t(days)          N(t)     N(t) True         error
  0.297000E+01  0.103014E+04  0.103015E+04  0.148490E-05
  0.298000E+01  0.103025E+04  0.103025E+04  0.148990E-05
  0.299000E+01  0.103035E+04  0.103035E+04  0.149490E-05
  0.300000E+01  0.103045E+04  0.103045E+04  0.149990E-05
  0.301000E+01  0.103056E+04  0.103056E+04  0.150490E-05
  0.302000E+01  0.103066E+04  0.103066E+04  0.150990E-05
  0.303000E+01  0.103076E+04  0.103076E+04  0.151490E-05
  0.304000E+01  0.103087E+04  0.103087E+04  0.151990E-05
  0.305000E+01  0.103097E+04  0.103097E+04  0.152490E-05
  0.306000E+01  0.103107E+04  0.103107E+04  0.152990E-05
  0.307000E+01  0.103117E+04  0.103118E+04  0.153490E-05
  0.308000E+01  0.103128E+04  0.103128E+04  0.153990E-05
  0.309000E+01  0.103138E+04  0.103138E+04  0.154490E-05
  0.310000E+01  0.103148E+04  0.103149E+04  0.154990E-05
  0.311000E+01  0.103159E+04  0.103159E+04  0.155490E-05
  0.312000E+01  0.103169E+04  0.103169E+04  0.155989E-05
  0.313000E+01  0.103179E+04  0.103179E+04  0.156489E-05
  0.314000E+01  0.103190E+04  0.103190E+04  0.156989E-05
  0.315000E+01  0.103200E+04  0.103200E+04  0.157489E-05
  0.316000E+01  0.103210E+04  0.103210E+04  0.157989E-05
  0.317000E+01  0.103221E+04  0.103221E+04  0.158489E-05
  0.318000E+01  0.103231E+04  0.103231E+04  0.158989E-05
  0.319000E+01  0.103241E+04  0.103241E+04  0.159489E-05
  0.320000E+01  0.103252E+04  0.103252E+04  0.159989E-05
  0.321000E+01  0.103262E+04  0.103262E+04  0.160489E-05
  0.322000E+01  0.103272E+04  0.103272E+04  0.160989E-05
  0.323000E+01  0.103283E+04  0.103283E+04  0.161489E-05
  0.324000E+01  0.103293E+04  0.103293E+04  0.161989E-05
  0.325000E+01  0.103303E+04  0.103303E+04  0.162489E-05
  0.326000E+01  0.103314E+04  0.103314E+04  0.162989E-05
  0.327000E+01  0.103324E+04  0.103324E+04  0.163489E-05
  0.328000E+01  0.103334E+04  0.103334E+04  0.163989E-05
  0.329000E+01  0.103345E+04  0.103345E+04  0.164489E-05
  0.330000E+01  0.103355E+04  0.103355E+04  0.164989E-05
  0.331000E+01  0.103365E+04  0.103365E+04  0.165489E-05
  0.332000E+01  0.103376E+04  0.103376E+04  0.165989E-05
  0.333000E+01  0.103386E+04  0.103386E+04  0.166489E-05
  0.334000E+01  0.103396E+04  0.103396E+04  0.166989E-05
  0.335000E+01  0.103407E+04  0.103407E+04  0.167489E-05
  0.336000E+01  0.103417E+04  0.103417E+04  0.167989E-05
  0.337000E+01  0.103427E+04  0.103427E+04  0.168489E-05
  0.338000E+01  0.103438E+04  0.103438E+04  0.168989E-05
  0.339000E+01  0.103448E+04  0.103448E+04  0.169489E-05
  0.340000E+01  0.103458E+04  0.103458E+04  0.169989E-05
  0.341000E+01  0.103469E+04  0.103469E+04  0.170488E-05
  0.342000E+01  0.103479E+04  0.103479E+04  0.170988E-05
  0.343000E+01  0.103489E+04  0.103490E+04  0.171488E-05
  0.344000E+01  0.103500E+04  0.103500E+04  0.171988E-05
  0.345000E+01  0.103510E+04  0.103510E+04  0.172488E-05
  0.346000E+01  0.103520E+04  0.103521E+04  0.172988E-05
  0.347000E+01  0.103531E+04  0.103531E+04  0.173488E-05
  0.348000E+01  0.103541E+04  0.103541E+04  0.173988E-05
  0.349000E+01  0.103551E+04  0.103552E+04  0.174488E-05
  0.350000E+01  0.103562E+04  0.103562E+04  0.174988E-05
  0.351000E+01  0.103572E+04  0.103572E+04  0.175488E-05
  0.352000E+01  0.103583E+04  0.103583E+04  0.175988E-05
  0.353000E+01  0.103593E+04  0.103593E+04  0.176488E-05
  0.354000E+01  0.103603E+04  0.103603E+04  0.176988E-05
  0.355000E+01  0.103614E+04  0.103614E+04  0.177488E-05
  0.356000E+01  0.103624E+04  0.103624E+04  0.177988E-05
  0.357000E+01  0.103634E+04  0.103634E+04  0.178488E-05
  0.358000E+01  0.103645E+04  0.103645E+04  0.178988E-05
  0.359000E+01  0.103655E+04  0.103655E+04  0.179488E-05
  0.360000E+01  0.103665E+04  0.103666E+04  0.179988E-05
  0.361000E+01  0.103676E+04  0.103676E+04  0.180488E-05
  0.362000E+01  0.103686E+04  0.103686E+04  0.180988E-05
  0.363000E+01  0.103697E+04  0.103697E+04  0.181488E-05
  0.364000E+01  0.103707E+04  0.103707E+04  0.181988E-05
  0.365000E+01  0.103717E+04  0.103717E+04  0.182488E-05
  0.366000E+01  0.103728E+04  0.103728E+04  0.182988E-05
  0.367000E+01  0.103738E+04  0.103738E+04  0.183488E-05
  0.368000E+01  0.103748E+04  0.103749E+04  0.183988E-05
  0.369000E+01  0.103759E+04  0.103759E+04  0.184488E-05
  0.370000E+01  0.103769E+04  0.103769E+04  0.184987E-05
  0.371000E+01  0.103779E+04  0.103780E+04  0.185487E-05
  0.372000E+01  0.103790E+04  0.103790E+04  0.185987E-05
  0.373000E+01  0.103800E+04  0.103800E+04  0.186487E-05
  0.374000E+01  0.103811E+04  0.103811E+04  0.186987E-05
  0.375000E+01  0.103821E+04  0.103821E+04  0.187487E-05
  0.376000E+01  0.103831E+04  0.103832E+04  0.187987E-05
  0.377000E+01  0.103842E+04  0.103842E+04  0.188487E-05
  0.378000E+01  0.103852E+04  0.103852E+04  0.188987E-05
  0.379000E+01  0.103863E+04  0.103863E+04  0.189487E-05
  0.380000E+01  0.103873E+04  0.103873E+04  0.189987E-05
  0.381000E+01  0.103883E+04  0.103884E+04  0.190487E-05
  0.382000E+01  0.103894E+04  0.103894E+04  0.190987E-05
  0.383000E+01  0.103904E+04  0.103904E+04  0.191487E-05
  0.384000E+01  0.103914E+04  0.103915E+04  0.191987E-05
  0.385000E+01  0.103925E+04  0.103925E+04  0.192487E-05
  0.386000E+01  0.103935E+04  0.103935E+04  0.192987E-05
  0.387000E+01  0.103946E+04  0.103946E+04  0.193487E-05
  0.388000E+01  0.103956E+04  0.103956E+04  0.193987E-05
