              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.127315E-07   -0.998334E-01    0.746434E-07   -0.998334E-01    0.127051E-07   -0.998334E-01    0.127051E-07
    0.101852E-07   -0.998334E-01    0.964805E-07   -0.998334E-01    0.127051E-07   -0.998334E-01    0.278457E-06
    0.814814E-08   -0.998334E-01    0.418877E-07   -0.998334E-01    0.945944E-07   -0.998334E-01    0.873817E-07
    0.651852E-08   -0.998334E-01    0.418877E-07   -0.998334E-01    0.128715E-06   -0.998334E-01    0.356185E-06
    0.521481E-08   -0.998334E-01    0.845384E-07   -0.998334E-01    0.845384E-07   -0.998335E-01    0.368876E-06
    0.417185E-08   -0.998334E-01    0.137852E-06   -0.998334E-01    0.137852E-06   -0.998335E-01    0.493274E-06
    0.333748E-08   -0.998334E-01    0.712100E-07   -0.998334E-01    0.712100E-07   -0.998334E-01    0.373068E-06
    0.266998E-08   -0.998334E-01    0.237814E-06   -0.998334E-01    0.178696E-06   -0.998335E-01    0.376651E-06
    0.213599E-08   -0.998335E-01    0.446069E-06   -0.998334E-01    0.745685E-07   -0.998335E-01    0.619615E-06
    0.170879E-08   -0.998334E-01    0.555909E-07   -0.998334E-01    0.555909E-07   -0.998335E-01    0.923321E-06
    0.136703E-08   -0.998335E-01    0.380990E-06   -0.998334E-01    0.432507E-06   -0.998335E-01    0.652155E-06
    0.109363E-08   -0.998335E-01    0.787738E-06   -0.998334E-01    0.229133E-06   -0.998335E-01    0.112669E-05
    0.874900E-09   -0.998335E-01    0.787738E-06   -0.998334E-01    0.483351E-06   -0.998332E-01    0.217814E-05
    0.699920E-09   -0.998334E-01    0.152194E-06   -0.998333E-01    0.143667E-05   -0.998335E-01    0.681814E-06
    0.559936E-09   -0.998335E-01    0.946624E-06   -0.998333E-01    0.103945E-05   -0.998336E-01    0.160865E-05
    0.447949E-09   -0.998336E-01    0.144314E-05   -0.998336E-01    0.144314E-05   -0.998339E-01    0.475327E-05
    0.358359E-09   -0.998336E-01    0.144314E-05   -0.998333E-01    0.166010E-05   -0.998328E-01    0.579776E-05
    0.286687E-09   -0.998335E-01    0.667332E-06   -0.998335E-01    0.667332E-06   -0.998330E-01    0.450474E-05
    0.229350E-09   -0.998335E-01    0.667332E-06   -0.998330E-01    0.418149E-05   -0.998324E-01    0.106466E-04
    0.183480E-09   -0.998336E-01    0.187954E-05   -0.998336E-01    0.187954E-05   -0.998344E-01    0.996090E-05
