   #x=  30.00
             #h           3-point     Error             5-point          Error
        0.1756E-03     -0.1000E+01    0.548292E+01        0.00E+00        0.10E+01
        0.1668E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1585E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1506E-03     -0.2000E+01    0.119658E+02        0.00E+00        0.10E+01
        0.1430E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1359E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1291E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1226E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1165E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1107E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1052E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9989E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9490E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9015E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8565E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8136E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7730E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7343E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6976E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6627E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6296E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5981E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5682E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5398E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5128E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4872E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4628E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4397E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4177E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3968E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3769E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3581E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3402E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3232E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3070E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2917E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2771E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2632E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2501E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2376E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2257E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2144E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2037E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1935E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1838E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1746E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1659E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1576E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1497E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1422E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1351E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1284E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1220E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1159E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1101E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1046E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9933E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9437E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8965E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8517E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8091E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7686E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7302E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6937E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6590E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6261E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5947E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5650E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5368E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5099E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
