   #x=   1.00
             #h           3-point     Error             5-point          Error
        0.5398E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5128E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4872E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4628E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4397E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4177E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3968E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3769E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3581E-04      0.1280E+03    0.237904E+03        0.12E+03        0.23E+03
        0.3402E-04      0.1280E+03    0.237904E+03        0.14E+03        0.26E+03
        0.3232E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3070E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2917E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2771E-04      0.1280E+03    0.237904E+03        0.21E+03        0.38E+03
        0.2632E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2501E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2376E-04      0.2560E+03    0.474809E+03        0.28E+03        0.52E+03
        0.2257E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2144E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2037E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1935E-04      0.5120E+03    0.948618E+03        0.42E+03        0.79E+03
        0.1838E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1746E-04      0.5120E+03    0.948618E+03        0.52E+03        0.97E+03
        0.1659E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1576E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
