gauss points     final           1st     1st error           2nd     2nd error           3rd     3rd error
         161     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48826    -0.361E-02
         162     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48829    -0.359E-02
         163     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48832    -0.357E-02
         164     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48836    -0.354E-02
         165     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48839    -0.352E-02
         166     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48842    -0.350E-02
         167     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48845    -0.348E-02
         168     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48848    -0.346E-02
         169     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48851    -0.344E-02
         170     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48854    -0.342E-02
         171     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48857    -0.340E-02
         172     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48860    -0.338E-02
         173     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48863    -0.336E-02
         174     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48866    -0.334E-02
         175     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48869    -0.332E-02
         176     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48872    -0.330E-02
         177     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48874    -0.329E-02
         178     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48877    -0.327E-02
         179     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48880    -0.325E-02
         180     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48882    -0.323E-02
         181     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48885    -0.321E-02
         182     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48888    -0.320E-02
         183     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48890    -0.318E-02
         184     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48893    -0.316E-02
         185     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48895    -0.314E-02
         186     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48898    -0.313E-02
         187     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48900    -0.311E-02
         188     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48903    -0.309E-02
         189     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48905    -0.308E-02
         190     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48908    -0.306E-02
         191     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48910    -0.305E-02
         192     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48913    -0.303E-02
         193     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48915    -0.301E-02
         194     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48917    -0.300E-02
         195     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48919    -0.298E-02
         196     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48922    -0.297E-02
         197     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48924    -0.295E-02
         198     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48926    -0.294E-02
         199     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48928    -0.292E-02
         200     0.370       0.78540    -0.234E-05       0.31606     0.884E-06       1.48931    -0.291E-02
